Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4084069.090000	11	-0.108652	-0.073274	0.070000	-0.000001	-0.000001	-2.425745	
b'eagle1'	4084069.900000	11	-0.111835	-0.087653	0.070000	0.000000	-0.000000	-2.408510	
b'eagle1'	4084070.704000	11	-0.115173	-0.101983	0.070000	0.000001	-0.000001	-2.396250	
b'eagle1'	4084071.512000	11	-0.118136	-0.116132	0.070000	0.000001	-0.000001	-2.384832	
b'eagle1'	4084072.323000	11	-0.120638	-0.130007	0.070000	0.000000	-0.000001	-2.371174	
b'eagle1'	4084073.133000	11	-0.123545	-0.143947	0.070000	-0.000001	0.000001	-2.356480	
b'eagle1'	4084073.944000	11	-0.125722	-0.158507	0.070000	0.000001	-0.000001	-2.340337	
b'eagle1'	4084074.752000	11	-0.127658	-0.172015	0.070000	0.000001	-0.000001	-2.327348	
b'eagle1'	4084075.558000	11	-0.129578	-0.186139	0.070000	0.000000	-0.000001	-2.309330	
b'eagle1'	4084076.369000	11	-0.131139	-0.200614	0.070000	-0.000000	0.000001	-2.294559	
b'eagle1'	4084077.182000	11	-0.132203	-0.214414	0.070000	0.000000	-0.000000	-2.276716	
b'eagle1'	4084077.991000	11	-0.133010	-0.228316	0.070000	0.000001	0.000001	-2.262031	
b'eagle1'	4084078.801000	11	-0.133928	-0.242192	0.070000	0.000000	-0.000000	-2.244489	
b'eagle1'	4084079.609000	11	-0.134557	-0.256752	0.070000	0.000000	-0.000000	-2.230096	
b'eagle1'	4084080.427000	11	-0.135570	-0.270663	0.070000	0.000000	-0.000000	-2.213492	
b'eagle1'	4084081.239000	11	-0.136089	-0.285367	0.070000	0.000000	-0.000000	-2.195314	
b'eagle1'	4084082.048000	11	-0.136239	-0.299159	0.070000	-0.000000	-0.000001	-2.180255	
b'eagle1'	4084082.858000	11	-0.135870	-0.313387	0.070000	-0.000001	0.000001	-2.162710	
b'eagle1'	4084083.662000	11	-0.134618	-0.327921	0.070000	-0.000000	-0.000001	-2.150658	
b'eagle1'	4084084.470000	11	-0.132934	-0.343045	0.070000	0.000000	0.000001	-2.134933	
b'eagle1'	4084085.272000	11	-0.130224	-0.357983	0.070000	0.000001	0.000001	-2.132508	
b'eagle1'	4084086.083000	11	-0.126699	-0.372597	0.070000	0.000000	0.000001	-2.127294	
b'eagle1'	4084086.893000	11	-0.122509	-0.387547	0.070000	0.000001	-0.000000	-2.129707	
