Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4089949.422000	11	-0.055313	0.667607	0.070000	0.000000	-0.000000	0.555165	
b'eagle1'	4089950.234000	11	-0.049543	0.659268	0.070000	0.000001	0.000001	0.555924	
b'eagle1'	4089951.050000	11	-0.043966	0.650556	0.070000	-0.000001	-0.000001	0.560266	
b'eagle1'	4089951.864000	11	-0.038640	0.641776	0.070000	-0.000001	-0.000001	0.564761	
b'eagle1'	4089952.679000	11	-0.033652	0.633592	0.070000	0.000001	-0.000001	0.561475	
b'eagle1'	4089953.488000	11	-0.028218	0.624738	0.070000	0.000001	-0.000001	0.559148	
b'eagle1'	4089954.298000	11	-0.022849	0.616074	0.070000	0.000001	0.000001	0.561368	
b'eagle1'	4089955.112000	11	-0.017251	0.607595	0.070000	0.000000	0.000001	0.567127	
b'eagle1'	4089955.930000	11	-0.011244	0.598799	0.070000	0.000001	0.000001	0.572294	
b'eagle1'	4089956.750000	11	-0.006085	0.590364	0.070000	-0.000000	-0.000001	0.568680	
b'eagle1'	4089957.565000	11	-0.000631	0.580756	0.070000	-0.000001	-0.000001	0.567060	
b'eagle1'	4089958.384000	11	0.002998	0.574646	0.070000	0.000001	-0.000001	0.567521	
